79/79,id,pubstate,pubdate,created,modified,word_count,menu_count,title,path
47,5154113694077659083,published,2011-01-12 15:15,2011-01-12 15:04,2011-01-12 15:15,809,0,Filling in for John Birks,/jur/en/nyheter/2011/01/filling-in-for-john-birks
48,5349578253609196209,published,2011-12-01 13:39,2011-12-01 13:18,2011-12-19 12:08,555,0,Hvordan løse konflikter i forvaltningen?,/jur/nyheter/2011/12/hvordan-lose-en-konflikt-i-en-forvaltningssak
49,5538849368805748843,published,2010-03-04 12:03,2010-03-04 11:23,2010-03-09 15:12,505,0,Gode jobbutsikter for nyutdannede jurister ,/jur/nyheter/2010/03/gode-jobbutsikter-for-nyutdannede-jurister
50,5612827028998449456,published,2011-12-13 16:03,2011-12-13 14:16,2011-12-14 12:56,1374,0,Startar samarbeid med kinesiske universitet,/jur/nyheter/2011/12/startar-samarbeid-med-kinesiske-universitet
51,5636273193838795802,private,2012-01-30 11:29,2012-01-30 11:29,2012-01-30 11:29,0,0,<Nyhet uten navn>,/jur/drafts/2012/01/5636273193838795802
52,5640448807335813761,published,2009-11-09 12:02,2009-11-09 12:02,2009-11-11 11:20,29,0,Refser juristenes organisasjoner,/jur/nyheter/2009/11/refser-juristenes-organisasjoner
53,5653841732182943035,published,2008-11-19 12:12,2008-11-19 12:12,2008-12-02 09:18,43,0,Tildelinger fra Meltzerfondet 2009,/jur/nyheter/2008/11/Tildelinger-fra-Meltzerfondet-2009
54,5717132916847913333,published,2008-11-26 13:44,2008-11-26 13:44,2008-11-26 13:49,110,0,Levninger etter frontkjempere avdekkes i Russland,/jur/nyheter/2008/11/Levninger-etter-frontkjempere-avdekkes-i-Russland
55,6047017891399207142,private,2012-03-07 11:29,2012-03-07 11:29,2012-03-07 11:32,17,0,test,/jur/drafts/2012/03/6047017891399207142
56,6338335270928187757,published,2009-05-05 09:38,2009-05-05 09:38,2009-05-05 09:46,332,0,Dekanvalget på Det juridiske fakultet,/jur/nyheter/2009/05/dekanvalget-paa-juridiske-fakultet
57,6354444995880344948,published,2011-03-09 09:14,2011-03-09 09:14,2011-03-09 09:27,110,0,Meltzervinner fra Det juridiske fakultet,/jur/nyheter/2011/03/meltzervinner-fra-det-juridiske-fakultet
58,6388876373269773161,published,2009-09-01 12:14,2009-09-01 12:14,2009-09-01 12:18,422,0,LLM-grad ved Det juridiske fakultet fra 2011?,/jur/nyheter/2009/09/llm-grad-ved-det-juridiske-fakultet-fra-2011
59,6445185975582455262,published,2011-06-08 07:21,2011-06-08 07:18,2011-06-09 08:42,134,0,Med Kant på loven,/jur/nyheter/2011/06/med-kant-paa-loven
60,6498615373840070115,published,2009-08-12 09:48,2009-08-12 09:48,2009-08-12 12:11,247,0,Varm velkomst til nye studenter,/jur/nyheter/2009/08/varm-velkomst-til-nye-studenter
61,6587310561946347647,published,2009-02-10 14:30,2009-02-10 14:30,2009-02-10 14:49,166,0,Hans Fredrik Marthinussen: Forholdet mellom panterett og pantekrav,/jur/nyheter/2009/02/disputas--hans-fredrik-marthinussen--forholdet-mellom-panterett-og-pantekrav
62,6729998882965530008,published,2009-06-15 08:15,2009-06-15 08:15,2009-06-15 08:35,236,0,Stappfullt auditorium på årets kandidatarrangement,/jur/nyheter/2009/06/stappfullt-auditorium-paa-aarets-kandidatarrangement
63,6741808364642737646,published,2010-08-31 06:50,2010-08-31 06:50,2010-08-31 07:32,484,0,Henriette Sinding Aasen: Min inspirasjonskilde ,/jur/nyheter/2010/08/henriette-sinding-aasen-min-inspirasjonskilde
64,6907086832796690761,private,2009-01-16 14:44,2009-01-16 14:44,2009-02-03 12:36,330,0,Ny publikasjon fra Jørn Øyrehagen Sunde og Eirik Holmøyvik,/jur/drafts/2009/01/6907086832796690761
65,7038422670285368644,published,2012-02-20 08:41,2012-02-20 08:29,2012-02-20 08:47,1094,0,Grunnlova og menneskerettane,/jur/nyheter/2012/02/grunnlova-og-menneskerettane
66,7159559217277023645,published,2009-03-06 10:44,2009-03-06 10:44,2009-03-06 11:31,32,0,Jørn Jacobsen fikk Meltzerprisen for yngre forskere,/jur/nyheter/2009/03/jorn-jacobsen-fikk-meltzerprisen-for-yngre-forskere
67,7174460265431629997,published,2009-04-24 13:52,2009-04-24 13:52,2009-04-27 07:58,122,0,Prøveforelesning og disputas: Tine Eidsvaag,/jur/nyheter/2009/04/proveforelesning-og-disputas-tine-eidsvaag
68,7403354270990113495,published,2009-11-10 11:30,2009-11-10 11:29,2009-11-10 11:35,650,0,Vil ha grenser for livedekning av rettssaker ,/jur/nyheter/2009/11/vil-ha-grenser-for-livedekning-av-rettssaker
69,7520827397130461986,published,2009-06-03 10:39,2009-06-03 10:39,2009-06-03 11:14,251,0,Endelig mer plass på Dragefjellet!,/jur/nyheter/2009/06/endelig-mer-plass-til-juristene
70,7521511568509679380,published,2011-03-23 14:43,2011-03-23 14:35,2012-02-09 10:37,805,0,Expands cooperation with Russian universities ,/jur/en/nyheter/2011/03/expands-cooperation-with-russian-universities
71,7813998289433456457,published,2011-01-26 14:25,2011-01-26 14:25,2011-01-27 09:41,880,0,International offensive from Faculty of Law ,/jur/en/nyheter/2011/01/international-offensive-from-faculty-of-law
72,8009027615380493709,published,2009-01-16 14:15,2009-01-16 14:15,2009-02-03 12:36,179,0,Ny publikasjon fra Johan Giertsen,/jur/nyheter/2009/01/Ny-publikasjon-fra-Johan-Giertsen
73,8250734573020040865,published,2009-06-09 08:02,2009-06-09 08:02,2009-06-10 09:20,48,0,Odd Einar Dørum foreslås til Universitetsstyret,/jur/nyheter/2009/06/odd-einar-dorum-til-universitetsstyret
74,8560836197740039565,published,2009-10-21 08:39,2009-10-20 14:18,2009-11-21 11:29,347,0,International Day 21 January 2010,/jur/en/nyheter/2009/10/international-day-21-january-2010
75,8605190993282780023,published,2010-06-11 11:09,2010-06-10 13:28,2010-06-14 08:48,343,0,Årets kandidater blir hedret av ambassadør,/jur/nyheter/2010/06/aarets-kandidater-blir-hedret-av-ambassador
76,8784840336293209162,published,2009-08-26 11:58,2009-08-26 11:58,2009-08-26 12:14,83,0,Inspirert av jus ved UiB,/jur/nyheter/2009/08/inspirert-av-jus-ved-uib
77,8971455555458192462,published,2009-04-28 12:00,2009-04-28 12:00,2009-04-29 12:35,147,0,Professor Angelo Forte vitjar Det juridiske fakultetet,/jur/nyheter/2009/04/professor-angelo-forte-vitjar-det-juridiske-fakultetet
78,9001514959736183192,published,2009-06-16 16:01,2009-06-16 16:01,2009-08-24 11:34,218,0,4-timers eksamen ett år til,/jur/nyheter/2009/06/4-timers-eksamen-ett-aar-til
79,9028433328044798614,published,2010-08-19 11:20,2010-08-19 11:15,2010-08-23 13:30,484,0,The world has entered the Faculty of Law ,/jur/en/nyheter/2010/08/the-world-has-entered-the-law-faculty
