  97  5           Resultater [4229192836841991955, article]
  98  5           Bibliografi [4016436710076905450, article]
  99  5           KIAP-korpuset [5351609116415999860, article]
 100  5           Satelittprosjekter [5613402955015305764, article]
 101  5           Samarbeidspartnere [6967058242711150496, article]
 102  5           ### 7754318013488265051 does not exist!
 103  4         Kulturell dialogisme:Ytringen [6946370839522772366, article]
 104  4         Landslide of the Norm [4987809015349947974, article]
 105  2     Informasjon til PhD-kandidater [6999689844147391011, navigationpage]
 106  3       Utlyste kurs og seminarer [8714897684597302444, navigationpage]
 107  4         Seminaret "Theories of Affect" tilbys av Senter for kvinne- og kjønnsforsking [553025774097448307, article]
 108  4         Irigaray Circle Conference 2013  ved UiB,   5-7 Juni 2013 [3090771190085741653, article]
 109  4         Sakarya University: INTERNATIONAL CONFERENCE ON NEW HORIZONS IN EDUCATION INTE 2013 ROME - ITALY [4130063005319467152, article]
 110  3       Utlysning av midler til nasjonale forskerutdanningskurs i humanistiske fag [787704487553295631, article]
 111  3       Reisestipend til Frankrike [4864670032640664643, article]
 112  3       Forlenging av stipendperiode (etter eigenmeldingar, sjukmeldingar o.l.) [8203249053199813029, article]
 113  3       NFR-database for mobilitetsstipend for Ph.D.-kandidater og forskere [1675894022372152884, article]
 114  3       Registrering av kurs, seminarer o.l. som skal inngå i opplæringsdelen - nye rutiner [2958868220672224333, article]
 115  3       Instruksjoner for produksjon av dr. gradsavhandlinger [5271625934505661832, article]
 116  3       Registreringsplikt for Ph.D. kandidater ved Det humanistiske fakultet [4346190591873583963, article]
 117  3       Økonomisk støtte [4918768325248429429, article]
 118  3       Ferie [8203249053199813039, article]
 119  2     PHD-kandidater i 2013 [9137244263645956183, article]
 120  2     Internasjonale samarbeidsavtaler [2316619550429972785, navigationpage]
 121  3       NORCAM   [5593209589028166267, navigationpage]
 122  4         Presentasjon [2365937219064470820, article]
 123  4         Avtaler [2680434314436584260, article]
 124  4         Historikk [2202687453682565638, article]
 125  4         Deltakere [2202687453682565647, article]
 126  4         Kvotestipendiater [2202687453682565656, article]
 127  2     Forskarar og stipendiatar  [8774439427639242664, navigationpage]
 128  3       Arabisk [8774439427639242672, article]
 129  3       Engelsk [1047513639094820876, article]
 130  3       Fransk [8774439427639242685, article]
 131  3       Italiensk [994849116583425168, article]
 132  3       Japansk [8926322180426334821, article]
 133  3       Russisk [3833680213058234185, article]
 134  3       Spansk- og latin-Amerikastudier [1593363213026174362, article]
 135  3       Tysk [3772681723831649814, article]
 136  3       Diverse programmer [2893392810323334310, article]
 137  2     Forskningsfinansiering/utlyste prosjektmidler [7884509644544578168, navigationpage]
 138  3       Utlysning av midler til nasjonale forskerutdanningskurs i humanistiske fag [787704487553295631, article, DUPLICATE #110]
