   1  0 Institutt for filosofi og førstesemesterstudier [3899846132506878747, institutt]
 106  4         Publikasjoner [5947674501965524789, navigationpage]
 107  4         Aktiviteter [6522714951595499494, navigationpage]
 108  5           Interculturalism and Diversities: Developing interultural models and thinking in the Nordic countries [498454957018950268, article]
 109  3       Subjektivering og senmodernitet  [1731837583424356322, navigationpage]
 110  4         Medlemmer [1215394401030001827, navigationpage]
 111  4         Målsetninger [3855641280160019644, navigationpage]
 112  4         Aktiviteter [5159625223142264611, navigationpage]
 113  4         Prosjekter [6183086656911373677, navigationpage]
 114  4         Publikasjoner [7872913360694057130, navigationpage]
 115  3       Wittgensteinrelaterte studier [2644961779223835152, navigationpage]
 116  4         Aktuelt [2358965086874330250, article]
 117  4         Seminarserie [7569452644116679826, article]
 118  4         Aktiviteter  [2241792007912363834, article]
 119  4         Wittgensteinarkivet ved Universitetet i Bergen [318198087415460881, article]
 120  3       ### 6974570002359212194 does not exist!
 121  2     Forskerutdanning [3643908403239074164, navigationpage]
 122  3       Om utdanningsprogrammet [4335098890474283025, navigationpage]
 123  3       Forskerskoler [2501715496143106857, navigationpage, RETRACTED]
 124  4         Forskerskolen Kultur og Samfunn [6368854411907169134, navigationpage, RETRACTED]
 125  3       Målsetning for forskerutdanningen [1339580352059718984, navigationpage]
 126  3       Stipendiater ved FOF [105203280109827083, navigationpage]
 127  2     Wittgensteinsarkivet [9215139746217317393, navigationpage]
 128  2     Forskningsnettverk [5623966350461719656, navigationpage]
 129  3       Interculturalism and Diversities [80826835838781580, navigationpage]
 130  4         Public summary [1845164714088787398, article]
 131  4         Activities [449780401853528449, article]
 132  4         Activity plan [8976298649164746765, article]
 133  4         Partners [7965946333342388874, article]
 134  4         Application [8976298649164746775, article]
 135  4         Document archive [3266920692599421208, article]
 136  1   Ressurser [878732072930303394, navigationpage exp:matnat]
 137  2     Bibliotek [7324531877537828386, navigationpage]
 138  3       Bibliotek for samfunnsvitenskap og humaniora [1243165932600519735, enhet ub/svh]
 139  2     Publikasjoner [7809727029419596834, navigationpage]
 140  3       Nye bøker ved FoF [6730753071234424505, navigationpage]
 141  4         Cassierer og Heidegger i Davos [648913216264522645, navigationpage]
 142  4         THE APPLICABILITY OF MATHEMATICS IN SCIENCE: INDISPENSABILITY AND ONTOLOGY [8642119820707327832, navigationpage]
 143  4         The Aesthetics of Wine. [4194308397068669793, navigationpage]
 144  4          Hva er et menneske? [9005856923322770904, navigationpage]
 145  4         Etik och praktisk kunskap. [2666938014013254689, navigationpage]
 146  4         Ny antologi om J. L. Austins filosofi. [442011895613635414, navigationpage]
 147  4         The Fate of Wonder: Wittgenstein's Critique of Metaphysics and Modernity (Columbia Themes in Philosophy) [4639024004091941455, navigationpage]
 148  4         Environment, Embodiment and Gender [3927868213169788704, navigationpage]
 149  4         Årbok 2010 - Bergensnettverket Kvinner i Filosofi [4612202300974709833, navigationpage]
 150  3       Siste publikasjonar [4197756537056870900, article]
 151  3       Cristin [4995893256658517788, navigationpage]
 152  3       Skriftseriar [280308527064995784, navigationpage]
 153  4         Stensilserien (1969 - 1986) [4917935289637538697, article]
 154  4         Skriftserien (1988 - 2003) [5029231314897033634, article]
 155  4         Wittgensteinarkivet sin skriftserie [4805387414028135832, article]
 156  3       Avhandlingar [280308527064995789, navigationpage]
 157  4         Mastergradsavhandlingar [9038756819210905912, article]
 158  4         Hovedfagsavhandlingar [1778079263839030237, article]
 159  4         Magistergradsavhandlingar [5550130462241342019, article]
 160  4         Doktorgradsavhandlingar [9038756819210905917, article]
 161  3       BORA [3811499054183384485, article]
 162  2     Instituttet i media [2632334155858093507, article, RETRACTED]
 163  2     Nettressurser i filosofi og idéhistorie [3254957424030456362, article]
 164  2     Bergensnettverket for kvinner i filosofi [4726430627864234400, navigationpage]
 165  3       Statutter [3933516949082929182, article]
 166  3       Ledelse 2013-14 [7237056313915061237, article]
 167  3       Program for våren 2013 [7237056313915061246, article]
 168  3       Hvordan arbeider Bergensnettverket for kvinner i filosofi? [3955101564850445438, article]
 169  2     Forum for akademisk skriving [2549468911466016167, navigationpage]
 170  3       Kurs [7231080484052644854, navigationpage]
 171  4         ### 3286121997981389203 does not exist!
 172  4         ### 3286121997981389213 does not exist!
 173  3       Lærere på Akademisk skrivesenter [8762109491609594059, navigationpage, PRIVATE]
 174  4         Randi Brodersen [630662455521744379, navigationpage]
 175  4         Birger Solheim [1984819126288875663, navigationpage]
 176  3       Ressurser [8284778229909311558, navigationpage]
 177  3       Kontakt [8284778229909311563, navigationpage]
 178  4         Birger Solheim [3390568235088482604, article]
 179  3       Forskning [3180563814156168202, navigationpage]
 180  4         Publikasjoner [5755834826151306959, navigationpage]
 181  4         Foredrag [9131505752319909831, navigationpage]
 182  4         Forskningsprosjekter  [8911326326500094541, navigationpage]
 183  4         Fra førstesemester til fagstudium [4430290996862942893, navigationpage]
 184  5           Presentasjon av førstesemesterstudiene [4688570598509275527, article]
 185  3       Faste medarbeidere [2682515539743804068, personliste]
 186  3       Konferanse: Academic writing from bachelor to PhD [559791602076568154, navigationpage]
 187  3       Konferanse: Argumentation in (Con)text [6352076235493290601, navigationpage]
 188  3       2. PEK-konferanse: Fra førstesemester til fagstudium [7555223517160993295, navigationpage]
 189  4         Introduksjon av førstesemesteremnene [954348134606113276, article]
 190  4         Karl Henrik Flyums foredrag [4688570598509275535, article]
 191  4         Trine Dahls foredrag [2122929462241479537, article]
 192  4         Diskusjon i tilknytning til foredragene [954348134606113294, article]
 193  4         Victoria Rosén om UiBs språkpolitikk, parallellspråklighet og termlister [2870648595292008211, article]
 194  4         Oppsummering av gruppearbeidet [954348134606113305, article]
 195  4         Begreper og termer fra alle førstesemesteremnene [2122929462241479547, article]
 196  4         Henvisning og sitering på førstesemesterstudiet [7405935133355928420, article, PRIVATE]
 197  3       1. PEK-konferanse: Et integrert førstesemesterstudium [4644284084088926696, article]
 198  3       3. PEK-konferanse: Etikk i forskning og utdanning [4063747978336201515, article]
 199  2     Retorisk Forum [3010274171562153274, navigationpage]
 200  3       Historikk [5534668645968433764, navigationpage]
 201  3       Linker [4566479784630456745, navigationpage]
 202  1   Om instituttet [4004136505408777612, navigationpage]
 203  2     Instituttets historie [8121636395155681175, article]
 204  2     Ledelse og organisasjon [514546202858393333, article]
 205  2     Råd og utvalg [2056421286728020586, navigationpage]
 206  3       Instituttråd [4404157612925865430, article]
